id,pokedex_number,name,generation,status,type_1,type_2,hp,attack,defense,sp_attack,sp_defense,speed
790,681,Aegislash Shield Forme,6,Normal,Steel,Ghost,60,50,150,50,150,60
791,682,Spritzee,6,Normal,Fairy,,78,52,60,63,65,23
792,683,Aromatisse,6,Normal,Fairy,,101,72,72,99,89,29
793,684,Swirlix,6,Normal,Fairy,,62,48,66,59,57,49
794,685,Slurpuff,6,Normal,Fairy,,82,80,86,85,75,72
795,686,Inkay,6,Normal,Dark,Psychic,53,54,53,37,46,45
796,687,Malamar,6,Normal,Dark,Psychic,86,92,88,68,75,73
797,688,Binacle,6,Normal,Rock,Water,42,52,67,39,56,50
798,689,Barbaracle,6,Normal,Rock,Water,72,105,115,54,86,68
799,690,Skrelp,6,Normal,Poison,Water,50,60,60,60,60,30
800,691,Dragalge,6,Normal,Poison,Dragon,65,75,90,97,123,44
801,692,Clauncher,6,Normal,Water,,50,53,62,58,63,44
802,693,Clawitzer,6,Normal,Water,,71,73,88,120,89,59
803,694,Helioptile,6,Normal,Electric,Normal,44,38,33,61,43,70
804,695,Heliolisk,6,Normal,Electric,Normal,62,55,52,109,94,109
805,696,Tyrunt,6,Normal,Rock,Dragon,58,89,77,45,45,48
806,697,Tyrantrum,6,Normal,Rock,Dragon,82,121,119,69,59,71
807,698,Amaura,6,Normal,Rock,Ice,77,59,50,67,63,46
808,699,Aurorus,6,Normal,Rock,Ice,123,77,72,99,92,58
809,700,Sylveon,6,Normal,Fairy,,95,65,65,110,130,60
810,701,Hawlucha,6,Normal,Fighting,Flying,78,92,75,74,63,118
811,702,Dedenne,6,Normal,Electric,Fairy,67,58,57,81,67,101
812,703,Carbink,6,Normal,Rock,Fairy,50,50,150,50,150,50
813,704,Goomy,6,Normal,Dragon,,45,50,35,55,75,40
814,705,Sliggoo,6,Normal,Dragon,,68,75,53,83,113,60
815,706,Goodra,6,Normal,Dragon,,90,100,70,110,150,80
816,707,Klefki,6,Normal,Steel,Fairy,57,80,91,80,87,75
817,708,Phantump,6,Normal,Ghost,Grass,43,70,48,50,60,38
818,709,Trevenant,6,Normal,Ghost,Grass,85,110,76,65,82,56
819,710,Pumpkaboo Average Size,6,Normal,Ghost,Grass,49,66,70,44,55,51
820,710,Pumpkaboo Small Size,6,Normal,Ghost,Grass,44,66,70,44,55,56
821,710,Pumpkaboo Large Size,6,Normal,Ghost,Grass,54,66,70,44,55,46
822,710,Pumpkaboo Super Size,6,Normal,Ghost,Grass,59,66,70,44,55,41
823,711,Gourgeist Average Size,6,Normal,Ghost,Grass,65,90,122,58,75,84
824,711,Gourgeist Small Size,6,Normal,Ghost,Grass,55,85,122,58,75,99
825,711,Gourgeist Large Size,6,Normal,Ghost,Grass,75,95,122,58,75,69
826,711,Gourgeist Super Size,6,Normal,Ghost,Grass,85,100,122,58,75,54
827,712,Bergmite,6,Normal,Ice,,55,69,85,32,35,28
828,713,Avalugg,6,Normal,Ice,,95,117,184,44,46,28
829,714,Noibat,6,Normal,Flying,Dragon,40,30,35,45,40,55
830,715,Noivern,6,Normal,Flying,Dragon,85,70,80,97,80,123
831,716,Xerneas,6,Legendary,Fairy,,126,131,95,131,98,99
832,717,Yveltal,6,Legendary,Dark,Flying,126,131,95,131,98,99
833,718,Zygarde 50% Forme,6,Legendary,Dragon,Ground,108,100,121,81,95,95
834,718,Zygarde 10% Forme,6,Legendary,Dragon,Ground,54,100,71,61,85,115
835,718,Zygarde Complete Forme,6,Legendary,Dragon,Ground,216,100,121,91,95,85
836,719,Diancie,6,Mythical,Rock,Fairy,50,100,150,100,150,50
837,719,Mega Diancie,6,Mythical,Rock,Fairy,50,160,110,160,110,110
838,720,Hoopa Hoopa Confined,6,Mythical,Psychic,Ghost,80,110,60,150,130,70
839,720,Hoopa Hoopa Unbound,6,Mythical,Psychic,Dark,80,160,60,170,130,80
840,721,Volcanion,6,Mythical,Fire,Water,80,110,120,130,90,70
841,722,Rowlet,7,Normal,Grass,Flying,68,55,55,50,50,42
842,723,Dartrix,7,Normal,Grass,Flying,78,75,75,70,70,52
843,724,Decidueye,7,Normal,Grass,Ghost,78,107,75,100,100,70
844,725,Litten,7,Normal,Fire,,45,65,40,60,40,70
845,726,Torracat,7,Normal,Fire,,65,85,50,80,50,90
846,727,Incineroar,7,Normal,Fire,Dark,95,115,90,80,90,60
847,728,Popplio,7,Normal,Water,,50,54,54,66,56,40
848,729,Brionne,7,Normal,Water,,60,69,69,91,81,50
849,730,Primarina,7,Normal,Water,Fairy,80,74,74,126,116,60
850,731,Pikipek,7,Normal,Normal,Flying,35,75,30,30,30,65
851,732,Trumbeak,7,Normal,Normal,Flying,55,85,50,40,50,75
852,733,Toucannon,7,Normal,Normal,Flying,80,120,75,75,75,60
853,734,Yungoos,7,Normal,Normal,,48,70,30,30,30,45
854,735,Gumshoos,7,Normal,Normal,,88,110,60,55,60,45
855,736,Grubbin,7,Normal,Bug,,47,62,45,55,45,46
856,737,Charjabug,7,Normal,Bug,Electric,57,82,95,55,75,36
857,738,Vikavolt,7,Normal,Bug,Electric,77,70,90,145,75,43
858,739,Crabrawler,7,Normal,Fighting,,47,82,57,42,47,63
859,740,Crabominable,7,Normal,Fighting,Ice,97,132,77,62,67,43
860,741,Oricorio Baile Style,7,Normal,Fire,Flying,75,70,70,98,70,93
861,741,Oricorio Pom-Pom Style,7,Normal,Electric,Flying,75,70,70,98,70,93
862,741,Oricorio Pa'u Style,7,Normal,Psychic,Flying,75,70,70,98,70,93
863,741,Oricorio Sensu Style,7,Normal,Ghost,Flying,75,70,70,98,70,93
864,742,Cutiefly,7,Normal,Bug,Fairy,40,45,40,55,40,84
865,743,Ribombee,7,Normal,Bug,Fairy,60,55,60,95,70,124
866,744,Rockruff,7,Normal,Rock,,45,65,40,30,40,60
867,744,Own Tempo Rockruff,7,Normal,Rock,,45,65,40,30,40,60
868,745,Lycanroc Midday Form,7,Normal,Rock,,75,115,65,55,65,112
869,745,Lycanroc Midnight Form,7,Normal,Rock,,85,115,75,55,75,82
870,745,Lycanroc Dusk Form,7,Normal,Rock,,75,117,65,55,65,110
871,746,Wishiwashi Solo Form,7,Normal,Water,,45,20,20,25,25,40
872,746,Wishiwashi School Form,7,Normal,Water,,45,140,130,140,135,30
873,747,Mareanie,7,Normal,Poison,Water,50,53,62,43,52,45
874,748,Toxapex,7,Normal,Poison,Water,50,63,152,53,142,35
875,749,Mudbray,7,Normal,Ground,,70,100,70,45,55,45
876,750,Mudsdale,7,Normal,Ground,,100,125,100,55,85,35
877,751,Dewpider,7,Normal,Water,Bug,38,40,52,40,72,27
878,752,Araquanid,7,Normal,Water,Bug,68,70,92,50,132,42
879,753,Fomantis,7,Normal,Grass,,40,55,35,50,35,35
880,754,Lurantis,7,Normal,Grass,,70,105,90,80,90,45
881,755,Morelull,7,Normal,Grass,Fairy,40,35,55,65,75,15
882,756,Shiinotic,7,Normal,Grass,Fairy,60,45,80,90,100,30
883,757,Salandit,7,Normal,Poison,Fire,48,44,40,71,40,77
884,758,Salazzle,7,Normal,Poison,Fire,68,64,60,111,60,117
885,759,Stufful,7,Normal,Normal,Fighting,70,75,50,45,50,50
886,760,Bewear,7,Normal,Normal,Fighting,120,125,80,55,60,60
887,761,Bounsweet,7,Normal,Grass,,42,30,38,30,38,32
888,762,Steenee,7,Normal,Grass,,52,40,48,40,48,62
889,763,Tsareena,7,Normal,Grass,,72,120,98,50,98,72
890,764,Comfey,7,Normal,Fairy,,51,52,90,82,110,100
891,765,Oranguru,7,Normal,Normal,Psychic,90,60,80,90,110,60
892,766,Passimian,7,Normal,Fighting,,100,120,90,40,60,80
893,767,Wimpod,7,Normal,Bug,Water,25,35,40,20,30,80
894,768,Golisopod,7,Normal,Bug,Water,75,125,140,60,90,40
895,769,Sandygast,7,Normal,Ghost,Ground,55,55,80,70,45,15
896,770,Palossand,7,Normal,Ghost,Ground,85,75,110,100,75,35
897,771,Pyukumuku,7,Normal,Water,,55,60,130,30,130,5
898,772,Type: Null,7,Sub Legendary,Normal,,95,95,95,95,95,59
899,773,Silvally,7,Sub Legendary,Normal,,95,95,95,95,95,95
900,774,Minior Meteor Form,7,Normal,Rock,Flying,60,60,100,60,100,60
901,774,Minior Core Form,7,Normal,Rock,Flying,60,100,60,100,60,120
902,775,Komala,7,Normal,Normal,,65,115,65,75,95,65
903,776,Turtonator,7,Normal,Fire,Dragon,60,78,135,91,85,36
904,777,Togedemaru,7,Normal,Electric,Steel,65,98,63,40,73,96
905,778,Mimikyu,7,Normal,Ghost,Fairy,55,90,80,50,105,96
906,779,Bruxish,7,Normal,Water,Psychic,68,105,70,70,70,92
907,780,Drampa,7,Normal,Normal,Dragon,78,60,85,135,91,36
908,781,Dhelmise,7,Normal,Ghost,Grass,70,131,100,86,90,40
909,782,Jangmo-o,7,Normal,Dragon,,45,55,65,45,45,45
910,783,Hakamo-o,7,Normal,Dragon,Fighting,55,75,90,65,70,65
911,784,Kommo-o,7,Normal,Dragon,Fighting,75,110,125,100,105,85
912,785,Tapu Koko,7,Sub Legendary,Electric,Fairy,70,115,85,95,75,130
913,786,Tapu Lele,7,Sub Legendary,Psychic,Fairy,70,85,75,130,115,95
914,787,Tapu Bulu,7,Sub Legendary,Grass,Fairy,70,130,115,85,95,75
915,788,Tapu Fini,7,Sub Legendary,Water,Fairy,70,75,115,95,130,85
916,789,Cosmog,7,Legendary,Psychic,,43,29,31,29,31,37
917,790,Cosmoem,7,Legendary,Psychic,,43,29,131,29,131,37
918,791,Solgaleo,7,Legendary,Psychic,Steel,137,137,107,113,89,97
919,792,Lunala,7,Legendary,Psychic,Ghost,137,113,89,137,107,97
920,793,Nihilego,7,Sub Legendary,Rock,Poison,109,53,47,127,131,103
921,794,Buzzwole,7,Sub Legendary,Bug,Fighting,107,139,139,53,53,79
922,795,Pheromosa,7,Sub Legendary,Bug,Fighting,71,137,37,137,37,151
923,796,Xurkitree,7,Sub Legendary,Electric,,83,89,71,173,71,83
924,797,Celesteela,7,Sub Legendary,Steel,Flying,97,101,103,107,101,61
925,798,Kartana,7,Sub Legendary,Grass,Steel,59,181,131,59,31,109
926,799,Guzzlord,7,Sub Legendary,Dark,Dragon,223,101,53,97,53,43
927,800,Necrozma,7,Legendary,Psychic,,97,107,101,127,89,79
928,800,Dusk Mane Necrozma,7,Legendary,Psychic,Steel,97,157,127,113,109,77
929,800,Dawn Wings Necrozma,7,Legendary,Psychic,Ghost,97,113,109,157,127,77
930,800,Ultra Necrozma,7,Legendary,Psychic,Dragon,97,167,97,167,97,129
931,801,Magearna,7,Mythical,Steel,Fairy,80,95,115,130,115,65
932,802,Marshadow,7,Mythical,Fighting,Ghost,90,125,80,90,90,125
933,803,Poipole,7,Sub Legendary,Poison,,67,73,67,73,67,73
934,804,Naganadel,7,Sub Legendary,Poison,Dragon,73,73,73,127,73,121
935,805,Stakataka,7,Sub Legendary,Rock,Steel,61,131,211,53,101,13
936,806,Blacephalon,7,Sub Legendary,Fire,Ghost,53,127,53,151,79,107
937,807,Zeraora,7,Mythical,Electric,,88,112,75,102,80,143
938,808,Meltan,7,Mythical,Steel,,46,65,65,55,35,34
939,809,Melmetal,7,Mythical,Steel,,135,143,143,80,65,34
940,810,Grookey,8,Normal,Grass,,50,65,50,40,40,65
941,811,Thwackey,8,Normal,Grass,,70,85,70,55,60,80
942,812,Rillaboom,8,Normal,Grass,,100,125,90,60,70,85
943,813,Scorbunny,8,Normal,Fire,,50,71,40,40,40,69
944,814,Raboot,8,Normal,Fire,,65,86,60,55,60,94
945,815,Cinderace,8,Normal,Fire,,80,116,75,65,75,119
946,816,Sobble,8,Normal,Water,,50,40,40,70,40,70
947,817,Drizzile,8,Normal,Water,,65,60,55,95,55,90
948,818,Inteleon,8,Normal,Water,,70,85,65,125,65,120
949,819,Skwovet,8,Normal,Normal,,70,55,55,35,35,25
950,820,Greedent,8,Normal,Normal,,120,95,95,55,75,20
951,821,Rookidee,8,Normal,Flying,,38,47,35,33,35,57
952,822,Corvisquire,8,Normal,Flying,,68,67,55,43,55,77
953,823,Corviknight,8,Normal,Flying,Steel,98,87,105,53,85,67
954,824,Blipbug,8,Normal,Bug,,25,20,20,25,45,45
955,825,Dottler,8,Normal,Bug,Psychic,50,35,80,50,90,30
956,826,Orbeetle,8,Normal,Bug,Psychic,60,45,110,80,120,90
957,827,Nickit,8,Normal,Dark,,40,28,28,47,52,50
958,828,Thievul,8,Normal,Dark,,70,58,58,87,92,90
959,829,Gossifleur,8,Normal,Grass,,40,40,60,40,60,10
960,830,Eldegoss,8,Normal,Grass,,60,50,90,80,120,60
961,831,Wooloo,8,Normal,Normal,,42,40,55,40,45,48
962,832,Dubwool,8,Normal,Normal,,72,80,100,60,90,88
963,833,Chewtle,8,Normal,Water,,50,64,50,38,38,44
964,834,Drednaw,8,Normal,Water,Rock,90,115,90,48,68,74
965,835,Yamper,8,Normal,Electric,,59,45,50,40,50,26
966,836,Boltund,8,Normal,Electric,,69,90,60,90,60,121
967,837,Rolycoly,8,Normal,Rock,,30,40,50,40,50,30
968,838,Carkol,8,Normal,Rock,Fire,80,60,90,60,70,50
969,839,Coalossal,8,Normal,Rock,Fire,110,80,120,80,90,30
970,840,Applin,8,Normal,Grass,Dragon,40,40,80,40,40,20
971,841,Flapple,8,Normal,Grass,Dragon,70,110,80,95,60,70
972,842,Appletun,8,Normal,Grass,Dragon,110,85,80,100,80,30
973,843,Silicobra,8,Normal,Ground,,52,57,75,35,50,46
974,844,Sandaconda,8,Normal,Ground,,72,107,125,65,70,71
975,845,Cramorant,8,Normal,Flying,Water,70,85,55,85,95,85
976,846,Arrokuda,8,Normal,Water,,41,63,40,40,30,66
977,847,Barraskewda,8,Normal,Water,,61,123,60,60,50,136
978,848,Toxel,8,Normal,Electric,Poison,40,38,35,54,35,40
979,849,Toxtricity Low Key Form,8,Normal,Electric,Poison,75,98,70,114,70,75
980,849,Toxtricity Amped Form,8,Normal,Electric,Poison,75,98,70,114,70,75
981,850,Sizzlipede,8,Normal,Fire,Bug,50,65,45,50,50,45
982,851,Centiskorch,8,Normal,Fire,Bug,100,115,65,90,90,65
983,852,Clobbopus,8,Normal,Fighting,,50,68,60,50,50,32
984,853,Grapploct,8,Normal,Fighting,,80,118,90,70,80,42
985,854,Sinistea,8,Normal,Ghost,,40,45,45,74,54,50
986,855,Polteageist,8,Normal,Ghost,,60,65,65,134,114,70
987,856,Hatenna,8,Normal,Psychic,,42,30,45,56,53,39
988,857,Hattrem,8,Normal,Psychic,,57,40,65,86,73,49
989,858,Hatterene,8,Normal,Psychic,Fairy,57,90,95,136,103,29
990,859,Impidimp,8,Normal,Dark,Fairy,45,45,30,55,40,50
991,860,Morgrem,8,Normal,Dark,Fairy,65,60,45,75,55,70
992,861,Grimmsnarl,8,Normal,Dark,Fairy,95,120,65,95,75,60
993,862,Obstagoon,8,Normal,Dark,Normal,93,90,101,60,81,95
994,863,Perrserker,8,Normal,Steel,,70,110,100,50,60,50
995,864,Cursola,8,Normal,Ghost,,60,95,50,145,130,30
996,865,Sirfetch'd,8,Normal,Fighting,,62,135,95,68,82,65
997,866,Mr. Rime,8,Normal,Psychic,Ice,80,85,75,110,100,70
998,867,Runerigus,8,Normal,Ground,Ghost,58,95,145,50,105,30
999,868,Milcery,8,Normal,Fairy,,45,40,40,50,61,34
1000,869,Alcremie,8,Normal,Fairy,,65,60,75,110,121,64
1001,870,Falinks,8,Normal,Fighting,,65,100,100,70,60,75
1002,871,Pincurchin,8,Normal,Electric,,48,101,95,91,85,15
1003,872,Snom,8,Normal,Ice,Bug,30,25,35,45,30,20
1004,873,Frosmoth,8,Normal,Ice,Bug,70,65,60,125,90,65
1005,874,Stonjourner,8,Normal,Rock,,100,125,135,20,20,70
1006,875,Eiscue Ice Face,8,Normal,Ice,,75,80,110,65,90,50
1007,875,Eiscue Noice Face,8,Normal,Ice,,75,80,70,65,50,130
1008,876,Indeedee Male,8,Normal,Psychic,Normal,60,65,55,105,95,95
1009,876,Indeedee Female,8,Normal,Psychic,Normal,70,55,65,95,105,85
1010,877,Morpeko Full Belly Mode,8,Normal,Electric,Dark,58,95,58,70,58,97
1011,877,Morpeko Hangry Mode,8,Normal,Electric,Dark,58,95,58,70,58,97
1012,878,Cufant,8,Normal,Steel,,72,80,49,40,49,40
1013,879,Copperajah,8,Normal,Steel,,122,130,69,80,69,30
1014,880,Dracozolt,8,Normal,Electric,Dragon,90,100,90,80,70,75
1015,881,Arctozolt,8,Normal,Electric,Ice,90,100,90,90,80,55
1016,882,Dracovish,8,Normal,Water,Dragon,90,90,100,70,80,75
1017,883,Arctovish,8,Normal,Water,Ice,90,90,100,80,90,55
1018,884,Duraludon,8,Normal,Steel,Dragon,70,95,115,120,50,85
1019,885,Dreepy,8,Normal,Dragon,Ghost,28,60,30,40,30,82
1020,886,Drakloak,8,Normal,Dragon,Ghost,68,80,50,60,50,102
1021,887,Dragapult,8,Normal,Dragon,Ghost,88,120,75,100,75,142
1022,888,Zacian Crowned Sword,8,Legendary,Fairy,Steel,92,170,115,80,115,148
1023,888,Zacian Hero of Many Battles,8,Legendary,Fairy,,92,130,115,80,115,138
1024,889,Zamazenta Crowned Shield,8,Legendary,Fighting,Steel,92,130,145,80,145,128
1025,889,Zamazenta Hero of Many Battles,8,Legendary,Fighting,,92,130,115,80,115,138
1026,890,Eternatus,8,Legendary,Poison,Dragon,140,85,95,145,95,130
1027,890,Eternatus Eternamax,8,Legendary,Poison,Dragon,255,115,250,125,250,130
